Nombre,Ciudad,Estado,Tipo de Club,Canchas,Precio Hora Pico,Precio Hora Valle,Latitud,Longitud
PADELHUB De Moda,Medellin,Abierto,Club de Pádel,2.0," $130,000"," $60,000",6.219100999999999,-75.5836149
PADELHUB Premium Plaza,Medellin,Abierto,Club de Pádel,3.0," $148,000"," $70,000",6.2297415,-75.5697319
PADELHUB Santa Maria,Medellin,Abierto,Club de Pádel,2.0," $138,000"," $70,000",6.1927563,-75.565395
Padeling by Cabal - Club de Padel,Cali,Abierto,Club de Pádel,4.0," $75,000"," $150,000",3.3397209,-76.5311024
Padelmanía,Bogota,Abierto,Club de Pádel,1.0," $180,000"," $80,000",4.6564904,-74.0639312
PadelPlace Manizales,Manizales,Abierto,Club de Pádel,3.0," $120,000"," $80,000",5.041819999999999,-75.474954
Panoramic Padel Cali,Cali,Abierto,,2.0,,,3.3376689,-76.53619090000001
Parche Padel,Bogota,Abierto,Club de Pádel,3.0," $120,000"," $80,000",4.747447,-74.0651761
Pinar Padel Club,Cucuta,Abierto,Club de Pádel,2.0," $150,000"," $80,000",7.8654407,-72.49902879999999
PLATINO PÁDEL CLUB,Medellin,Abierto,Club de Pádel,3.0," $180,000"," $90,000",6.188824999999999,-75.59750679999999
Play Pádel Club Cali,Cali,Abierto,Club de Pádel,4.0," $125,000"," $65,000",3.300797,-76.54364989999999
Premier Pádel BGA,Bucaramanga,Abierto,Club de Pádel,2.0," $70,000"," $105,000",7.0494926,-73.1008149
PremierePádel,Medellin,Abierto,Club de Pádel,8.0,,,6.163362800000001,-75.5965854
Pro Padel Club,Cucuta,Abierto,Club de Pádel,4.0," $150,000"," $80,000",7.8702067,-72.47562669999999
Pro Padel Monteria,Monteria,Abierto,Club de Pádel,2.0," $100,000"," $70,000",8.758472222222222,-75.86663888888889
Pro Padel Sincelejo,Sincelejo,Abierto,Club de Pádel,2.0," $120,000"," $60,000",9.311640599999999,-75.3694852
Pueblo Viejo Country Club,Bogota,Abierto,Club Privado,2.0,,,4.7996316,-74.0903924
Puro Pádel,Medellin,Abierto,Club de Pádel,4.0," $157,000"," $105,000",6.151410899999999,-75.556502
PZD | Pro Padel Zone,Bogota,Abierto,Club de Pádel,2.0," $130,000"," $60,000",4.6666171,-74.0600834
Quindío Pádel Center,Armenia,Abierto,Club de Pádel,3.0," $100,000"," $60,000",4.545437499999998,-75.6425625
Rooftop Padel Club,Barranquilla,Abierto,Club de Pádel,3.0," $100,000"," $40,000",11.0177599,-74.8596629
Santo Pádel Club,Medellin,Abierto,Club de Pádel,2.0," $115,000"," $70,000",6.1273445,-75.382617
Selected Padel Club,Medellin,Abierto,Club de Pádel,3.0," $130,000"," $70,000",6.2602617,-75.5863743
Set Point Racket Club,Pereira,Abierto,Club de Pádel,2.0," $96,000"," $50,000",4.7855894,-75.749273
Slam Padel El Chico,Bogota,Abierto,Club de Pádel,2.0," $200,000"," $75,000",4.6879605,-74.0463997
Smash Club,Bucaramanga,Abierto,Club de Pádel,4.0," $80,000"," $120,000",7.050760299999999,-73.0993259
Smash Padel & Volley,Buga,Abierto,Club Deportivo MIxto,2.0," $100,000"," $40,000",3.8894962,-76.2924594
SOCIAL PÁDEL,Cucuta,Abierto,Club de Pádel,2.0," $100,000"," $60,000",7.915308,-72.4727746
Swing Padel,Bogota,Abierto,Club de Pádel,4.0," $200,000"," $90,000",4.7036887,-74.0488048
Tau Padel,Medellin,Abierto,Club de Pádel,2.0," $150,000"," $100,000",6.2252116,-75.1774677
The Padel Club,Cucuta,Abierto,Club de Pádel,4.0," $200,000"," $60,000",4.797416666666667,-75.84805555555555
Ultimate Padel Cali,Cali,Abierto,Club de Pádel,3.0,,,3.3386689,-76.5299426
Urban Pádel Colombia,Bogota,Abierto,Club de Pádel,3.0," $160,000"," $70,000",4.6920335,-74.0845731
VIVO PADEL,Cali,Abierto,Club de Pádel,4.0," $140,000"," $50,000",3.330252,-76.5329999
World Padel Colombia,Medellin,Abierto,Club de Pádel,3.0," $160,000"," $80,000",6.1455755,-75.5687264
Xpadel,Medellin,Abierto,Club de Pádel,2.0," $120,000"," $80,000",6.1680795,-75.6158743
ZION PADEL S.A.S,Tuluá,Abierto,Club de Pádel,," $100,000"," $50,000",4.0806563,-76.1825746
tropical Pade Club,Girardot,Abierto,Club de Pádel,1.0," $80,000"," $40,000",,
Royal Padel,Neiva,Abierto,Club de Pádel,2.0," $120,000"," $65,000",,
